お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
BA_RadosAdvComCenter,POI,Rados ComCenter MKII,ラドス酸素貯蔵施設MKII,
BA_RadosAdvOxyDepot,POI,Rados Oxygen Depot MKII,ラドス酸素貯蔵施設MKII,
BA_RadosAdvSupplyStation,POI,Rados Supply Station MKII,ラドス供給ステーションMKII,
BA_RadosBase,POI,Rados Base MKI,ラドスベースMKI,
BA_RadosComCenter,POI,Rados ComCenter MKI,ラドス商業センターMKI,
BA_RadosDefenceI,POI,Rados Defence I,ラドス防衛拠点I,
BA_RadosDefenceII,POI,Rados Defence II,ラドス防衛拠点II,
BA_RadosDefenceIII,POI,Rados Defence III,ラドス防衛拠点III,
BA_RadosFuelDepot,POI,Rados Fuel Depot,ラドス燃料貯蔵庫,
BA_RadosOxyDepot,POI,Rados Oxygen Depot MKI,ラドス酸素貯蔵施設MKI,
BA_RadosPowerStation,POI,Rados Power Station,ラドス発電所,
BA_RadosRefinery,POI,Rados Refinery,ラドス精練所,
BA_RadosSupplyStation,POI,Rados Supply Station MKI,ラドス供給ステーションMKI,
BA_Spaceport-CivilSettlement-B,POI,Logistics Center,物流施設,
BA_SpireSatellite,POI,Alien Base,エイリアンベース,
BA_TalonGuardianTempel,POI,Talon Guardian Temple,タロンガーディアン・テンプル,
BA_TalonGuardianVillage,POI,Talon Guardian Village,タロンガーディアン・ビレッジ,
BA_TransportationStation,POI,Transportation Hub,交通結節点,
BA_Tribal-VillageStone-10,POI,Village,集落,
BA_Tribal-VillageStone-11,POI,Village,集落,
BA_Tribal-VillageStone-7p2,POI,Village,集落,
BA_Tribal-VillageStone-8p2,POI,Village,集落,
BA_Tribal-VillageWood-12,POI,Village,集落,
BA_Tribal-VillageWood-6p2,POI,Village,集落,
BA_Tribal-VillageWood-9p2,POI,Village,集落,
BA_Unknown-Artifact,POI,Unknown Artifact,未知の人工物,
BA_Unknown-Structure,POI,Unknown Structure,未知の構造,
BA_Xenu_DroneBase,POI,Drone Base,ドローンベース,
BA_XenuAdvArmory,POI,Xenu Armory MKII,ジヌー武器Mk2,
BA_XenuAdvPowerStation,POI,Xenu PowerStation MKII,ジヌー発電所Mk2,
BA_XenuAdvRadar,POI,Xenu Radar MKII,ジヌーレーダーMk2,
BA_XenuAdvSpaceport,POI,Xenu Spaceport MKII,ジヌースペースポートMk2,
BA_XenuAdvVehiclePort,POI,Xenu Vehicle Port MKII,ジヌー車両基地Mk2,
BA_XenuArmory,POI,Xenu Armory MKI,ジヌー武器庫Mk1,
BA_XenuColony,POI,Xenu Colony,ジヌーコロニー,
BA_XenuDefenceI,POI,Xenu Defence I,ジヌー防衛拠点1,
BA_XenuDefenceII,POI,Xenu Defence II,ジヌー防衛拠点2,
BA_XenuDefenceIII,POI,Xenu Defence III,ジヌー防衛拠点3,
BA_XenuFortressP1,POI,Xenu Fortress P1,ジヌー要塞P1,
BA_XenuPowerStation,POI,Xenu PowerStation MKI,ジヌー発電所Mk1,
BA_XenuRadar,POI,Xenu Radar MKI,ジヌーレーダーMk1,
BA_XenuRareSupplyStation,POI,Xenu Supply Station,ジヌー供給ステーション,
BA_XenuSpaceport,POI,Xenu Spaceport MKI,ジヌースペースポートMk1,
BA_XenuTemple,POI,Xenu Temple,ジヌー寺院,
BA_XenuVehiclePort,POI,Xenu Vehicle Port MKI,ジヌー車両ポートMk1,
BA_XenuWalkerBase,POI,Xenu Walker Base,ジヌーウォーカーベース,
BA_XenuWeaponBunker,POI,Xenu Weapon Bunker,ジヌー武装バンカー,
BAO_AntarisSpacefarm,POI,Antaris Spacefarm,アンタレススペースファーム,
BAO_CrusaldOrbital,POI,Crusald Orbital,クルセイドオービタル,
BAO_Dion-III,POI,Dion-III,ディオン-III,
BAO_GhostRiderShipyard,POI,Shipyard,造船施設,
BAO_Migotzu-Orbital-Hub,POI,Migotzu-Orbital-Hub,ミゴツ衛星軌道ハブ,
BAO_OrbitalSpire,POI,Orbital Spire,軌道尖塔,
BAO_PF2,POI,Orbital Station,軌道ステーション,
BAO_RadosRepairStation,POI,Repair Station,リペア・ステーション,
BAO_Thermica-Station,POI,Thermica Station,サーミッツァ・ステーション,
BAO_XenuShipyard,POI,Shipyard,造船施設,
BAO_XenuSupplyStation,POI,Supply Station,供給ステーション,
CV_Hyperion_crashed,POI,Crashed Hyperion,墜落したハイペリオン,
CV_ISS,POI,Research Station,リサーチ・ステーション,
CV_Talos_Destroyed_back,POI,Crashed MS Titan (back part),墜落したタイタン(後部),
CV_Talos_Destroyed_front,POI,Crashed MS Titan (front part),墜落したタイタン(前部),
CV_Talos_Destroyed_mid,POI,Crashed MS Titan (mid part),墜落したタイタン(中部),
CV_Titan_crashed,POI,Crashed Ship,墜落船,
CV_Titan_crashed_GC,POI,Crashed Ship,墜落船GC,
CV_Titan_crashedV2,POI,Crashed Ship,墜落船V2,
TSO_AkuaOrbit,POI (admin),TS Akua Orbit,TS アクア・オービット,
TSO_OmicronOrbit,POI (admin),TS Omicron Orbit,TS オミクロン・オービット,
TSP_Akua,POI (admin),TS Akua,TS アクア,
TSP_Omicron,POI (admin),TS Omicron,TS オミクロン,
rgwControlPanel,Registry Window [rgw],Control Panel,コントロールパネル,
rgwFaction,Registry Window [rgw],Faction,ファクション,
rgwFilter,Registry Window [rgw],Filter,フィルター,
rgwLocation,Registry Window [rgw],Location,場所,
rgwName,Registry Window [rgw],Name,名称,
rgwPlayfields,Registry Window [rgw],Name,名称,
rgwPowered,Registry Window [rgw],Powered,パワード,
rgwRegistryTitle,Registry Window [rgw],REGISTRY,レジストリー,
rgwShowOnMap,Registry Window [rgw],Show on Map,マップに表示,
rgwShowPrivate,Registry Window [rgw],Show Private,プライベートを表示,
rgwStatistics,Registry Window [rgw],Statistics,統計,
rgwType,Registry Window [rgw],Type,タイプ,
rgwWaypoint,Registry Window [rgw],Waypoint,ウェイポイント,
rswRepair,Repair Station Window [rsw],Repair,修理,
rswRepairStation,Repair Station Window [rsw],Repair Station,リペアー・ステーション,
rswTitle,Repair Station Window [rsw],REPAIR STATION,リペアー・ステーション,
CobaltResource,Resource - Deposit,Cobalt Deposit,コバルト鉱脈,
CopperResource,Resource - Deposit,Copper Deposit,カッパー鉱脈,
ErestrumResource,Resource - Deposit,Erestrum Deposit,エレストラン鉱脈,
GoldResource,Resource - Deposit,Gold Deposit,ゴールドゴールド鉱脈,
IronResource,Resource - Deposit,Iron Deposit,アイアン鉱脈,
MagnesiumResource,Resource - Deposit,Magnesium Deposit,マグネシウム鉱脈,
NeodymiumResource,Resource - Deposit,Neodymium Deposit,ネオジム鉱脈,
PentaxidResource,Resource - Deposit,Pentaxid Deposit,ペンタキシド鉱脈,
PromethiumResource,Resource - Deposit,Promethium Deposit,プロメチウム 鉱脈,
SathiumResource,Resource - Deposit,Sathium Deposit,サティウム鉱脈,
SiliconResource,Resource - Deposit,Silicon Deposit,シリコン鉱脈,
ZascosiumResource,Resource - Deposit,Zascosium Deposit,ザスコシウム鉱脈,
AsteroidCobalt,Resource - Meteorite,Cobalt Meteorite,コバルト隕石,
AsteroidCopper,Resource - Meteorite,Copper Meteorite,カッパー隕石,
AsteroidErestrum,Resource - Meteorite,Erestrum Meteorite,エレストラン隕石,
AsteroidGold,Resource - Meteorite,Gold Meteorite,ゴールド隕石,
AsteroidIron,Resource - Meteorite,Iron Meteorite,アイアン隕石,
AsteroidMagnesium,Resource - Meteorite,Magnesium Meteorite,マグネシウム隕石,
AsteroidNeodymium,Resource - Meteorite,Neodymium Meteorite,ネオジム隕石,
AsteroidPentaxid,Resource - Meteorite,Pentaxid Meteorite,ペンタキシド隕石,
AsteroidPromethium,Resource - Meteorite,Promethium Meteorite,プロメチウム 隕石,
AsteroidSathium,Resource - Meteorite,Sathium Meteorite,サティウム隕石,
AsteroidSilicon,Resource - Meteorite,Silicon Meteorite,シリコン隕石,
AsteroidZascosium,Resource - Meteorite,Zascosium Meteorite,ザスコシウム隕石,
CobaltOre,Resource - Ore,Cobalt Ore,コバルト 鉱石,
CopperOre,Resource - Ore,Copper Ore,カッパー 鉱石,
CrushedStone,Resource - Ore,Crushed Stone,岩石,
ErestrumOre,Resource - Ore,Erestrum Ore,エレストラン 鉱石,
GoldOre,Resource - Ore,Gold Ore,ゴールド鉱石,
IronOre,Resource - Ore,Iron Ore,アイアン鉱石,
MagnesiumOre,Resource - Ore,Magnesium Ore,マグネシウム 鉱石,
NeodymiumOre,Resource - Ore,Neodymium Ore,ネオジム 鉱石,
PentaxidOre,Resource - Ore,Pentaxid (raw material),ペンタキシド(raw material),
PromethiumOre,Resource - Ore,Promethium Ore,プロメチウム 鉱石,
SathiumOre,Resource - Ore,Sathium Ore,サティウム 鉱石,
SiliconOre,Resource - Ore,Silicon Ore,シリコン 鉱石,
ZascosiumOre,Resource - Ore,Zascosium Ore,ザスコシウム 鉱石,
smwSectorMapTitle,Sector Map Window [smw],SECTOR MAP,セクターマップ,
smwTemp,Sector Map Window [smw],Temperature:,温度:,
svrConnecting,Server Message [srv],Connecting to server...,サーバーにつなげる...,
svrConnectingToHost,Server Message [srv],Connecting to server {0}...,サーバー{0}に接続しています...,
svrConnectingToIpPort,Server Message [srv],Connecting to server {0}:{1}...,サーバーへの接続{0}:{1} ...,
scfgAntiGriefDist,ServerConfig [scfg],Anti-Griefing Distance,隣接建築の禁止距離,
scfgDecayTime,ServerConfig [scfg],Remove Time (Unvisited Mini Structures),リムーブタイム (Unvisited Mini Structures),
scfgGameModeId,ServerConfig [scfg],Game Mode,ゲームモード,
scfgMaxStructures,ServerConfig [scfg],Max. Structures per Playfield,プレイフィールドの構造物の最大数,
scfgNumPlayfields,ServerConfig [scfg],Number of Playfields,プレイフィールド数,
scfgNumStartPlanets,ServerConfig [scfg],Number of Starting Planets,開始惑星の数,
scfgOfflProtTime,ServerConfig [scfg],Offline Protection Time,オフライン保護時間,
scfgStopPeriod,ServerConfig [scfg],Playfield Auto-Restart,プレイフィールドの自動再起動,
scfgWipeTime,ServerConfig [scfg],Remove Time (Unvisited Structures),リムーブタイム (Unvisited Structures),
sswDrillMode,Ship Stats Window [ssw],Drill Mode:,ドリル・モード:,
sswFixed,Ship Stats Window [ssw],Fixed,固定,
sswFree,Ship Stats Window [ssw],Free,フリー,
"ReduceRadiation,DecreaseBodyTemp,IncreaseBodyTemp",Status Effect - Effective,"Reduces Radiation, Decreases and Increases Body Temperature",放射線を減少させ、高体温、低体温を治す。,
"BrokenLeg,OpenWound",Status Effect - EffectiveAgainst,"Broken Leg, Open Wound",骨折、開放創,
"Freezing,HeatStroke,RadiationSick1,RadiationSick2,RadiationPoisoning",Status Effect - EffectiveAgainst,"Freezing, Heat Stroke, Radiation Sickness and Poisoning",凍結、熱中症、放射線中毒,
"OpenWound,BrokenLeg,PoisonFood",Status Effect - EffectiveAgainst,"Open Wound, Broken Leg, Food Poisoning","開放創,骨折,食中毒",
"OpenWound,BrokenLeg,PoisonFood,PoisonBit",Status Effect - EffectiveAgainst,"Open Wound, Broken Leg, Food Poisoning, Poisonous Bite","開放創,骨折,食中毒,ポイズン",
"OpenWound,PoisonFood",Status Effect - EffectiveAgainst,"Open Wound, Food Poisoning","開放創,食中毒",
"OpenWound,PoisonFood,PoisonBit",Status Effect - EffectiveAgainst,"Open Wound, Food Poisoning, Poisonous Bite","開放創,食中毒,ポイズン",
"Parasite1,Parasite2,Parasite3",Status Effect - EffectiveAgainst,Alien Parasite,寄生エイリアン,
"PoisonFood,BadTrip",Status Effect - EffectiveAgainst,"Food Poisoning, Bad Trip","食中毒,悪酔い",
"PoisonFood,PoisonBit",Status Effect - EffectiveAgainst,"Food Poisoning, Poisonous Bite","食中毒,ポイズン",
BadTrip,Status Effect - Name,Bad Trip,バッドトリップ,
MedikitBandages,Status Effect - Name,Bandages,包帯,
BrokenLeg,Status Effect - Name,Broken Leg,骨折,
ColdEffect,Status Effect - Name,Too Cold,寒すぎる,
DecreaseBodyTemp,Status Effect - Name,Reduce Temperature,温度を下げる,
Fire,Status Effect - Name,Catching Fire,引火,
Freezing,Status Effect - Name,Freezing,凍結,
HealBrokenLeg,Status Effect - Name,Heal Broken Leg,骨折を治療,
HeatStroke,Status Effect - Name,Heat Stroke,熱中症,
Hot,Status Effect - Name,Too Hot,熱すぎる,
IncreaseBodyTemp,Status Effect - Name,Increase Temperature,温度を上げる,
LowFood,Status Effect - Name,Low Food,空腹,
MedicStation,Status Effect - Name,First Aid,応急処置メディックステーション,
MedikitLarge,Status Effect - Name,First Aid,応急処置メディケアラージ,
MedikitSmall,Status Effect - Name,First Aid,応急処置メディケアスモール,
NoFood,Status Effect - Name,Starving,飢餓,
NoOxygen,Status Effect - Name,No Oxygen,酸素欠乏,
OpenWound,Status Effect - Name,Open Wound,開放創,
Parasite1,Status Effect - Name,Parasite Stage 1,寄生ステージ1,
Parasite2,Status Effect - Name,Parasite Stage 2,寄生ステージ2,
Parasite3,Status Effect - Name,Parasite Stage 3,寄生ステージ3,
PoisonBit,Status Effect - Name,Poisonous Bite,毒咬傷,
PoisonFood,Status Effect - Name,Food Poisoning,食中毒,
RadiationPoisoning,Status Effect - Name,Radiation Poisoning,放射線中毒,
RadiationSick1,Status Effect - Name,Radiation Sickness 1,軽度の被爆,
RadiationSick2,Status Effect - Name,Radiation Sickness 2,重度の被爆,
ReduceRadiation,Status Effect - Name,Reduce Radiation,放射線を削減,
StaminaBoost,Status Effect - Name,Stamina Boost,スタミナブースト,
StaminaRecover,Status Effect - Name,Stamina Recovery,スタミナ回復,
StimBoosterDown,Status Effect - Name,Stim Booster Down,スティム・ブースター・ダウン,
StimBoosterUp,Status Effect - Name,Stim Booster Up,スティム・ブースター・アップ,
Build,Steam Multiplayer Window,Build,ビルド,
Direct IP and Port:,Steam Multiplayer Window,Direct IP and Port:,直接接続IP＆ポート:,
Hide incompatible builds,Steam Multiplayer Window,Hide incompatible builds,互換性のないサーバを隠す,
Hide password protected,Steam Multiplayer Window,Hide password protected,パスワードで保護されたサーバを隠す,
Ping,Steam Multiplayer Window,Ping,Ping,
Players,Steam Multiplayer Window,Players,プレーヤー,
Refresh,Steam Multiplayer Window,Refresh,リフレッシュ,
Server List,Steam Multiplayer Window,Server List,サーバーリスト,
Server Name,Steam Multiplayer Window,Server Name,サーバーの名称,
ServerPassword,Steam Multiplayer Window,Please enter password for server:,サーバーのパスワードを入力してください:,
Stop Refresh,Steam Multiplayer Window,Stop Refresh,更新,
Total Servers:,Steam Multiplayer Window,Total Servers:,合計サーバー:,
ttwTechTreeTitle,Tech Tree Window [ttw],TECH TREE,テックツリー,
txtCouldNotReadLogPleaseAttach,Text [txt],Could not read log file: {0}\n\n>> PLEASE attach the log file manually - thank you! <<,ログファイル:{0}を読み取れませんでした\n \n >>手動でログファイルを添付してください - ありがとうございます！ <<,
txtDescribeWhatHappened,Text [txt],Please DESCRIBE what you did before the error occurred:\n\n>\n,エラーが発生する前に行った事を説明してください:\n\n>\n,
txtNoEmailSoftwareInstalled,Text [txt],You have no email software installed,あなたには電子メールソフトウェアがインストールされていません,
txtPleaseAttachLog,Text [txt],Please ATTACH the latest Client_*.log files from {0}\n\n,最新のクライアントにアタッチしてください_*.{0}からのログファイル\n\n,
texChooseColor,Texture/Color Tool [tex],Choose Color,色を選択,
texChooseTexture,Texture/Color Tool [tex],Choose Texture,テクスチャを選択,
texNote,Texture/Color Tool [tex],Note: You cannot use symbols from different pages on the same block,注:同じブロックに異なるページのシンボルを使用することはできません,
texPage,Texture/Color Tool [tex],Page {0} / {1},ページ{0} / {1},
texSymbols,Texture/Color Tool [tex],Symbols,記号,
texTextures,Texture/Color Tool [tex],Textures,テクスチャ,
texWholeBlock,Texture/Color Tool [tex],Apply to Whole Block,ブロック全体に適用,
titleCircuit2xAnd,Title [title],2x AND,2x AND,
titleCircuit2xNand,Title [title],2x NAND,2x NAND,
titleCircuit2xNor,Title [title],2x NOR,2x NOR,
titleCircuit2xOr,Title [title],2x OR,2x OR,
titleCircuit4xAnd,Title [title],4x AND,4x AND,
titleCircuit4xNand,Title [title],4x NAND,4x NAND,
titleCircuit4xNor,Title [title],4x NOR,4x NOR,
titleCircuit4xOr,Title [title],4x OR,4x OR,
titleCircuitDelay,Title [title],Delay,ディレイ,
titleCircuitInverter,Title [title],Inverter,NOT,
titleCircuitSRLatch,Title [title],Set/Reset Latch,SRラッチ,
titleCircuitXnor,Title [title],XNOR,XNOR,
titleCircuitXor,Title [title],XOR,XOR,
titleConsole,Title [title],Console,コンソール,
titleCreativeMenu,Title [title],Creative Menu,Creative Menu,
titleFuelTank,Title [title],FUEL TANK,燃料タンク,
titleFurnace,Title [title],Furnace,溶鉱炉,
titleItems,Title [title],Items,アイテム,
titleMap,Title [title],Map,マップ,
titleO2Tank,Title [title],OXYGEN TANK,酸素タンク,
titlePdaBriefing,Title [title],BRIEFING,ブリーフィング,
titleRewardedChapters:,Title [title],Rewarded Chapters:,派生ミッション：,
titleRewards:,Title [title],Rewards:,報酬:,
titleSignContent,Title [title],Sign Content,署名の内容,
titleSignEdit,Title [title],Edit Sign Content,署名コンテンツの編集,
titleTrader,Title [title],Trader,トレーダー,
tglOff,Toggle [tgl],OFF,オフ,
tglOn,Toggle [tgl],ON,オン,
tipBlueprintLibrary,Tooltip [tip],Blueprint Library,設計図一覧,
tipControlPanel,Tooltip [tip],Control Panel,コントロールパネル,
tipDebugOptions,Tooltip [tip],Debug Options,デバッグオプション,
tipGettingStarted,Tooltip [tip],Getting Started,入門,
tipInventory,Tooltip [tip],Inventory,イベントリー,
tipMap,Tooltip [tip],Map,マップ,
tipOptions,Tooltip [tip],Options,オプション,
tipQuit,Tooltip [tip],Quit,終了,
tipSave,Tooltip [tip],Backup,セーブ,
trwAmmo,Trader Window [trw],Ammo,弾薬,
trwArmorBoost,Trader Window [trw],Armor Boosts,アーマーブースト,
trwBank,Trader Window [trw],Bank Transfer,銀行振込,
trwBankBalance,Trader Window [trw],Bank Balance,銀行預金残高,
trwCash,Trader Window [trw],Cash,現金,
trwComponentsBasic,Trader Window [trw],Basic Components,基本コンポーネント,
trwDefaultSellingText,Trader Window [trw],"Hello, my name is <NAME>,\nI am selling <GOODS>.\nYou can pay with <PAYMENT>.",こんにちは、私の名前は <NAME>です。\n私は<GOODS>販売しています。\nあなたはで <PAYMENT>.支払いできます。,
trwFood,Trader Window [trw],Food,食料,
trwItem,Trader Window [trw],Item,アイテム,
trwMedical,Trader Window [trw],Medical,医療,
trwQuantity,Trader Window [trw],Quantity,数量,
trwResources,Trader Window [trw],Resources,資源,
trwSeeds,Trader Window [trw],Seeds and Plants,種子と苗,
trwStock,Trader Window [trw],Stock,ストック,
trwTraderTitle,Trader Window [trw],TRADER,トレーダー,
trwWeaponsAdvanced,Trader Window [trw],Advanced Weapons,高度な武器,
trwWeaponsBasic,Trader Window [trw],Basic Weapons,標準な武器,
tutBuildBase,Tutorial Message [tut],"To build a Base, craft 'Base Starter' in constructor and place it on flat terrain",base を建てるには、コンストラクタでbaseスターターを作成し、平らな土地の上に設置します。,
tutBuildHV,Tutorial Message [tut],"To build a Hover Vessel (HV), craft 'Hover Vessel Starter' in constructor and place it somewhere",Hover Vessel (HV) を建造するには、「Hover Vessel スターター」をコンストラクタで作成してどこかに設置しましょう。,
tutBuildSV,Tutorial Message [tut],"To build a Small Vessel (SV), craft 'Small Vessel Starter' in large constructor and place it somewhere",Small Vessel (SV) を建造するには、「Small Vessel スターター」をコンストラクタで作成してどこかに設置しましょう。,
tutEatOrProcessFood,Tutorial Message [tut],Find something to eat and/or process your food in a Food Processor,何か食べられるものや、フードプロセッサーで加工できるものを探しましょう。,
tutExpGain,Tutorial Message [tut],"You can gain experience with different actions such as exploring, building, mining, farming and fighting",あなたは、建築、掘削、農業や戦闘など、さまざまなアクションから経験を積むことができます,
tutHintsActivated,Tutorial Message [tut],"In-game hints are activated. To de-activate them, go into Misc under Options",ゲーム内のヒントがアクティブになります。無効化はオプションの下のその他に入ってください。,
tutHowToChangeHoverHeight,Tutorial Message [tut],Press '{0}' / '{1}' to increase/decrease hover distance to ground,'{0}' / '{1}' を押してホバー距離を増加／減少させます,
tutHowToUseConstructor,Tutorial Message [tut],"Put input items in Inventory, then select items to be produced from Templates",インベントリにアイテムを入れ、 作成したいアイテムをテンプレートから選択してください。,
tutJetpackJump,Tutorial Message [tut],Use your jetpack for higher jumps on planets.,惑星上で高いジャンプをするにはジェットパックを使用してください。,
tutLeaveEscapePod,Tutorial Message [tut],Take all your equipment with you because the escape pod will soon vanish!,'{0}' を押して脱出ポッドから降ります。重要:脱出ポッドはすぐに消えるので、すべてのアイテムを持っていこう！,
tutModularBuilding,Tutorial Message [tut],"To enable modular building, press '{0}' to open the 'Building Tools' menu and activate 'Connect to Base'",モジュラー構築を有効にするには、 '{0}'を押して 'ビルディングツール'メニューを開き、 'ベースに接続'をアクティブにします。,
tutMultiTool,Tutorial Message [tut],"Use the 'Multitool' for multiple purposes (repair, remove, upgrade, change and rotate blocks and devices)",(ブロックやデバイスの修復、削除、アップグレード、変更、回転)には「マルチツール」を使用してください。,
tutOxygenGenerator,Tutorial Message [tut],Place an oxygen generator in the water to produce oxygen bottles,酸素ボトルを製造するためには、酸素発生器を水中に設置します。,
tutOxygenUsage,Tutorial Message [tut],Place oxygen bottles in oxygen tank and then use an oxygen station to fill up your suit's oxygen,酸素タンクに酸素ボトルを置き、酸素ステーションを使用してスーツに酸素を補充してください。,
tutPDA,Tutorial Message [tut],Press '{0}' to access the PDA with its tutorials and FAQs,'{0}' を押してPDAにアクセスし、チュートリアルとFAQを見る。,
tutPlaceFoodProcessor,Tutorial Message [tut],Place a food processor to cook and process food items,調理するにはフードプロセッサーを置き、食品を加工します,
tutPlaceFuelTank,Tutorial Message [tut],Place a fuel tank on your base and fill it with fuel packs,baseに燃料タンクを設置し、燃料パックを注入します,
tutPlaceLargeConstructor,Tutorial Message [tut],Place a large constructor to craft advanced devices,高度なデバイスを作るためにはラージコンストラクタを設置する必要があります,
tutPlaceMedicStation,Tutorial Message [tut],Place a medic station to set your spawn point and for healing,スポーンポイントの設定と治療のために、メディカル・ステーションを置きましょう,
tutPlacePowerGenerator,Tutorial Message [tut],Place a power generator on your base,baseに発電機を設置しましょう,
tutPlayerDrone,Tutorial Message [tut],Press '{0}' to activate your personal drone - it will be a big help for building your base,'{0}' を押してあなたのドローンをアクティブにする - それはあなたのbadeを構築するための大きな助けになります,
tutSwimFreeHand,Tutorial Message [tut],For swimming you must have your hands free. Otherwise you will sink to the bottom,泳ぐ為にはあなたの手が自由でなければなりません。そうしないと、水底に沈んでいきます。,
tutSwitchOnMainPower,Tutorial Message [tut],Switch on Main Power ('{0}' or via Control Panel) to operate unit,主電源( '{0}'またはコントロールパネルを介して)をいれてユニットを動作させましょう。,
tutTechTree,Tutorial Message [tut],"Press '{0}' to access the Tech Trees and unlock items with ""Unlock Points"" gained after levelling up",'{0}' を押してテックツリーにアクセスし、レベルアップした時のポイントを使いスキルのロックを解除します,
tutTemperature,Tutorial Message [tut],Keep an eye on the outside temperature and the radiation level,外気温と放射線レベルに注意してください,
tutUseControlPanel,Tutorial Message [tut],"To control and manage your base or ship, use the Control Panel ('{0}') while being in a base or cockpit",あなたのbase や船をコントロールするためには baseやコックピットにいるときにコントロールパネル ('{0}')を使いましょう。,
tutWhatsNeededForHV,Tutorial Message [tut],"To build functional HV you need: cockpit, generator, fuel tank, RCS, thrusters (on all sides). Hover engine is already placed",機能的なHVを構築するには、コックピット、発電機、燃料タンク、RCS、スラスタ（すべての方向）が必要です。 ホバリングエンジンは既に設置されています,
tutWhatsNeededForSV,Tutorial Message [tut],"To build a functional SV you need: cockpit, generator, fuel tank, RCS, thrusters (on all sides)",動作する SV を建造するため必要なものは、コックピット、発電機、燃料タンク、RCS、スラスタ（すべての方向に）が必要です。,
unitAbbrDays,Unit [unit],d,日,
unitAbbrHours,Unit [unit],h,時間,
unitAbbrMinutes,Unit [unit],min,秒,
unitDay,Unit [unit],day,日,
unitDays,Unit [unit],days,日,
upgRepairFirst,Upgrade Tool,Repair the device first!,まずデバイスを修理してください！,
upgTlFrom,Upgrade Tool,From,から,
upgTlNeeded,Upgrade Tool,Needed,必要,
upgTlNotAvail,Upgrade Tool,No upgrade available,アップグレードできません,
upgTlReturned,Upgrade Tool,Returned,戻ってきた,
upgTlTo,Upgrade Tool,To,に,
upgTlUpgrade,Upgrade Tool,Upgrade,アップグレード,
vstAccelThrusterTorque,Vessel Statistics [vst],Acceleration/Thrust/Torque,加速/スラスト/トルク,
vstAmmoContainers,Vessel Statistics [vst],Ammo Boxes:,弾薬箱:,
vstAttackDefense,Vessel Statistics [vst],ATTACK / DEFENSE,攻撃/防衛,
vstAvailableAU,Vessel Statistics [vst],Available AU:,到達可能なAU:,
vstBlockCount,Vessel Statistics [vst],Block Count:,ブロック数:,
vstCargo,Vessel Statistics [vst],Cargo,貨物,
vstCargoBoxes,Vessel Statistics [vst],Cargo Boxes:,カーゴボックス:,
vstCargoProduction,Vessel Statistics [vst],CARGO / PRODUCTION,貨物/生産,
vstClass,Vessel Statistics [vst],Size Class:,サイズ・クラス:,
vstCloneChambers,Vessel Statistics [vst],Clone Chambers:,クローン設備:,
vstConstructors,Vessel Statistics [vst],Constructors:,コンストラクタ:,
vstConsumption,Vessel Statistics [vst],Consumption:,消費:,
vstCreatorName,Vessel Statistics [vst],Creator:,クリエイター:,
vstDeviceCount,Vessel Statistics [vst],Device Count:,デバイス総数:,
vstDocked,Vessel Statistics [vst],DOCKED,ドッキング,
vstFoodProcessors,Vessel Statistics [vst],Food Processors:,フード・プロセッサー:,
vstFridges,Vessel Statistics [vst],Fridges:,冷蔵庫:,
vstFuel,Vessel Statistics [vst],Fuel:,燃料:,
vstFuelTanks,Vessel Statistics [vst],Fuel Tanks:,燃料タンク:,
vstGeneral,Vessel Statistics [vst],GENERAL,一般的な,
vstGenerators,Vessel Statistics [vst],Generators:,ジェネレータ:,
vstHoverBoosters,Vessel Statistics [vst],Hover Boosters,ホバーブースター,
vstHoverEngines,Vessel Statistics [vst],Hover Engines,ホバーエンジン,
vstLifeSupport,Vessel Statistics [vst],Life Support,生命維持,
vstLightCount,Vessel Statistics [vst],Light Count:,照明数:,
vstMass,Vessel Statistics [vst],Mass:,質量:,
vstMaxOutput,Vessel Statistics [vst],Max Output:,最大出力:,
vstMaxSpeed,Vessel Statistics [vst],Maximum Speed:,最大速度:,
vstMedicStations,Vessel Statistics [vst],Medic Stations:,医療設備:,
vstName,Vessel Statistics [vst],Name:,ネーム:,
vstNone,Vessel Statistics [vst],None,なし,
vstO2,Vessel Statistics [vst],Oxygen:,酸素:,
vstO2CurrentlyInBase,Vessel Statistics [vst],Currently In Base:,現在のベース:,
vstO2CurrentlyInTanks,Vessel Statistics [vst],Currently In Tanks:,現在のタンク:,
vstO2NeededToFill,Vessel Statistics [vst],Needed to Fill:,必要なもの:,
vstOverview,Vessel Statistics [vst],OVERVIEW,概要,
vstOxygen,Vessel Statistics [vst],Oxygen:,酸素:,
vstOxygenMedic,Vessel Statistics [vst],OXYGEN / MEDIC,酸素/医療,
vstOxygenStations,Vessel Statistics [vst],Oxygen Stations:,酸素設備:,
vstOxygenTanks,Vessel Statistics [vst],Oxygen Tanks:,酸素ボンベ:,
vstPassengers,Vessel Statistics [vst],PASSENGERS,乗員数,
vstPitch,Vessel Statistics [vst],Pitch,ピッチ,
vstPowerFuel,Vessel Statistics [vst],POWER / FUEL,パワー/燃料,
vstPowerLeft,Vessel Statistics [vst],Power Left:,稼働時間:,
vstRCS,Vessel Statistics [vst],RCS:,RCS:,
